"Path","RefCount","RefFiles"
".tmp_head_start_scene.tscn","0",""
".tmp_scenes_ui_activity_activity_panel.tscn","0",""
".tmp_scenes_ui_map_concert_hall_music_study_menu.tscn","0",""
"addons\romestead_weather_free\weather_system.tscn","0",""
"scenes\autoload\scene_transition_manager.tscn","0",""
"scenes\autoload\system_toast.tscn","0",""
"scenes\autoload\toast_item.tscn","0",""
"scenes\autoload\toast_manager.tscn","0",""
"scenes\ui\activity\activity_cost_tag.tscn","0",""
"scenes\ui\activity\activity_item.tscn","0",""
"scenes\ui\activity\activity_loading_overlay.tscn","0",""
"scenes\ui\activity\activity_panel.tscn","0",""
"scenes\ui\activity\activity_reward_tag.tscn","0",""
"scenes\ui\activity\category_tab_item.tscn","0",""
"scenes\ui\activity\course_slot.tscn","0",""
"scenes\ui\activity\rest_item.tscn","0",""
"scenes\ui\activity\schedule_event_panel.tscn","0",""
"scenes\ui\activity\schedule_execution_panel.tscn","0",""
"scenes\ui\activity\schedule_result_popup.tscn","0",""
"scenes\ui\archive\archive_memory_item.tscn","0",""
"scenes\ui\archive\archive_memory_panel.tscn","0",""
"scenes\ui\archive\archive_memory_section.tscn","0",""
"scenes\ui\archive\archive_personality_panel.tscn","0",""
"scenes\ui\archive\archive_relation_panel.tscn","0",""
"scenes\ui\archive\relation_graph_content.tscn","0",""
"scenes\ui\archive\relation_graph_node_card.tscn","0",""
"scenes\ui\common\confirm_dialog.tscn","0",""
"scenes\ui\common\dialogue_panel.tscn","0",""
"scenes\ui\common\info_popup.tscn","0",""
"scenes\ui\date\date_loading_overlay.tscn","0",""
"scenes\ui\date\date_location_item.tscn","0",""
"scenes\ui\date\date_scene.tscn","0",""
"scenes\ui\date\date_type_item.tscn","0",""
"scenes\ui\desktop_pet\desktop_pet.tscn","0",""
"scenes\ui\desktop_pet\desktop_pet_settings_panel.tscn","0",""
"scenes\ui\desktop_pet\pet_body.tscn","0",""
"scenes\ui\desktop_pet\pomodoro_panel.tscn","0",""
"scenes\ui\diary\diary_panel.tscn","0",""
"scenes\ui\gift\gift_item.tscn","0",""
"scenes\ui\gift\gift_panel.tscn","0",""
"scenes\ui\guide\guide_overlay.tscn","0",""
"scenes\ui\history\history_item.tscn","0",""
"scenes\ui\history\history_panel.tscn","0",""
"scenes\ui\main\background_setting_item.tscn","0",""
"scenes\ui\main\background_setting_panel.tscn","0",""
"scenes\ui\main\backgrounds\locations\art_studio_bg.tscn","0",""
"scenes\ui\main\backgrounds\locations\class_break_moments_bg.tscn","0",""
"scenes\ui\main\backgrounds\locations\default_room_bg.tscn","0",""
"scenes\ui\main\backgrounds\locations\holiday_pool_days_bg.tscn","0",""
"scenes\ui\main\backgrounds\locations\piano_room_bg.tscn","0",""
"scenes\ui\main\creation_music_panel.tscn","0",""
"scenes\ui\main\creation_panel.tscn","0",""
"scenes\ui\main\drawing_board_panel.tscn","0",""
"scenes\ui\main\incoming_call_notification.tscn","0",""
"scenes\ui\main\main_scene.tscn","0",""
"scenes\ui\main\music\creation_music_item.tscn","0",""
"scenes\ui\main\music\music_import_popup.tscn","0",""
"scenes\ui\main\music\music_player.tscn","0",""
"scenes\ui\main\music\music_playlist_item.tscn","0",""
"scenes\ui\main\music\music_playlist_popup.tscn","0",""
"scenes\ui\main\top_status_panel.tscn","0",""
"scenes\ui\main\weather_panel.tscn","0",""
"scenes\ui\map\art_gallery\art_study_menu.tscn","0",""
"scenes\ui\map\cafe\cafe_making_popup.tscn","0",""
"scenes\ui\map\cafe\cafe_menu_item_card.tscn","0",""
"scenes\ui\map\cafe\cafe_menu_section.tscn","0",""
"scenes\ui\map\cafe\cafe_order_menu.tscn","0",""
"scenes\ui\map\concert_hall\music_study_menu.tscn","0",""
"scenes\ui\map\core\area_item.tscn","0",""
"scenes\ui\map\core\location_button.tscn","0",""
"scenes\ui\map\core\location_detail_panel.tscn","0",""
"scenes\ui\map\core\location_hover_tooltip.tscn","0",""
"scenes\ui\map\core\minimap_ui.tscn","0",""
"scenes\ui\map\core\quick_action_button.tscn","0",""
"scenes\ui\map\core\quick_location_scene.tscn","0",""
"scenes\ui\map\core\study_option_item.tscn","0",""
"scenes\ui\map\core\world_map_scene.tscn","0",""
"scenes\ui\map\grand_theater\performance_study_menu.tscn","0",""
"scenes\ui\map\gym\gym_training_menu.tscn","0",""
"scenes\ui\map\library\tutoring_course_item.tscn","0",""
"scenes\ui\map\library\tutoring_menu.tscn","0",""
"scenes\ui\map\location_button.tscn","0",""
"scenes\ui\map\npc\npc_interaction_menu.tscn","0",""
"scenes\ui\map\npc\quick_npc_portrait.tscn","0",""
"scenes\ui\mobile\affection_panel.tscn","0",""
"scenes\ui\mobile\album_list_card.tscn","0",""
"scenes\ui\mobile\album_panel.tscn","0",""
"scenes\ui\mobile\between_entry_card.tscn","0",""
"scenes\ui\mobile\between_panel.tscn","0",""
"scenes\ui\mobile\between_timeline_group.tscn","0",""
"scenes\ui\mobile\between_timeline_item.tscn","0",""
"scenes\ui\mobile\camera_panel.tscn","0",""
"scenes\ui\mobile\chat\bubbles\character_bubble.tscn","0",""
"scenes\ui\mobile\chat\bubbles\player_bubble.tscn","0",""
"scenes\ui\mobile\chat\bubbles\system_bubble.tscn","0",""
"scenes\ui\mobile\chat\mobile_chat_panel.tscn","0",""
"scenes\ui\mobile\chat\mobile_contact_list.tscn","0",""
"scenes\ui\mobile\chat\mobile_contact_list_item.tscn","0",""
"scenes\ui\mobile\chat\red_packet_interact.tscn","0",""
"scenes\ui\mobile\chat\video_call_panel.tscn","0",""
"scenes\ui\mobile\chat\voice_call_panel.tscn","0",""
"scenes\ui\mobile\luna_profile_panel.tscn","0",""
"scenes\ui\mobile\mail_panel.tscn","0",""
"scenes\ui\mobile\mobile_interface.tscn","0",""
"scenes\ui\mobile\moments\moment_item.tscn","0",""
"scenes\ui\mobile\moments\moments_panel.tscn","0",""
"scenes\ui\mobile\tutorial_panel.tscn","0",""
"scenes\ui\mobile\wechat\wechat_contact_item.tscn","0",""
"scenes\ui\mobile\wechat\wechat_contact_list.tscn","0",""
"scenes\ui\mobile\wechat\wechat_main_panel.tscn","0",""
"scenes\ui\save_load\save_load_panel.tscn","0",""
"scenes\ui\save_load\save_slot_item.tscn","0",""
"scenes\ui\settings\settings_scene.tscn","0",""
"scenes\ui\settings\settings_voice_type_item.tscn","0",""
"scenes\ui\start\bug_feedback_panel.tscn","0",""
"scenes\ui\start\start_scene.tscn","0",""
"scenes\ui\stats\stats_panel.tscn","0",""
"scenes\ui\story\character_layer.tscn","0",""
"scenes\ui\story\debug_panel.tscn","0",""
"scenes\ui\story\mbti_option_item.tscn","0",""
"scenes\ui\story\player_call_name_popup.tscn","0",""
"scenes\ui\story\player_info_popup.tscn","0",""
"scenes\ui\story\quick_option_item.tscn","0",""
"scenes\ui\story\quick_option_loading_item.tscn","0",""
"scenes\ui\story\story_period_card.tscn","0",""
"scenes\ui\story\story_portrait_actor.tscn","0",""
"scenes\ui\story\story_scene.tscn","0",""
"scenes\ui\wardrobe\wardrobe_item.tscn","0",""
"scenes\ui\wardrobe\wardrobe_panel.tscn","0",""
